MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,TRAD_numSyll,Word_TTR,Word_numWords,readinglevel
0.23,2.19,21.87,1.27,0.41,853.0,1
0.19,2.35,26.03,1.46,0.37,833.0,2
0.27,2.52,21.71,1.43,0.33,608.0,0
0.17,2.42,23.67,1.48,0.36,734.0,1
0.29,2.23,27.41,1.48,0.51,658.0,2
0.38,2.54,19.0,1.3,0.46,475.0,0
0.34,2.36,22.25,1.41,0.46,623.0,1
0.22,2.27,20.26,1.28,0.44,689.0,2
0.26,2.37,18.7,1.23,0.42,580.0,0
0.25,2.35,19.93,1.25,0.43,658.0,1
0.37,2.27,24.55,1.41,0.42,1056.0,2
0.31,2.39,18.08,1.26,0.4,633.0,0
0.4,2.33,22.28,1.36,0.42,869.0,1
0.28,2.42,26.42,1.23,0.36,1295.0,2
0.24,2.52,17.25,1.12,0.38,690.0,0
0.27,2.42,21.46,1.2,0.39,837.0,1
0.23,2.2,22.79,1.23,0.45,889.0,2
0.21,2.21,17.92,1.26,0.44,717.0,0
0.2,2.24,20.35,1.23,0.44,794.0,1
0.24,2.12,22.16,1.42,0.46,1086.0,2
0.18,2.18,18.45,1.42,0.44,683.0,0
0.25,2.13,22.9,1.41,0.46,916.0,1
0.23,2.32,18.45,1.36,0.47,646.0,2
0.17,2.3,17.13,1.22,0.48,394.0,0
0.22,2.27,17.21,1.35,0.47,551.0,1
0.32,2.13,26.65,1.41,0.44,773.0,2
0.29,2.3,23.23,1.31,0.39,697.0,0
0.3,2.2,24.65,1.37,0.42,715.0,1
0.37,2.18,23.85,1.54,0.4,1002.0,2
0.37,2.44,19.0,1.45,0.36,798.0,0
0.38,2.25,21.76,1.53,0.39,914.0,1
0.34,1.99,32.77,1.42,0.43,885.0,2
0.35,1.99,22.52,1.47,0.43,518.0,0
0.28,1.97,27.11,1.47,0.43,705.0,1
0.28,1.78,25.06,1.59,0.46,752.0,2
0.29,1.99,20.0,1.44,0.41,580.0,0
0.27,1.83,21.89,1.57,0.47,613.0,1
